,year,movie_title,certificate,duration,genre,rate,metascore,votes,gross,user_reviews,critic_reviews,cartoon,number_of_genres
0,2001,Kate & Leopold,PG-13,118,Comedy|Fantasy|Romance,6.4000001,44,66660,47100000,318,125,False,3
1,2000,Chicken Run,G,84,Animation|Adventure|Comedy,7.0,88,144475,106790000,361,186,True,3
2,2005,Fantastic Four,PG-13,106,Action|Adventure|Family,5.69999981,40,273203,154700000,1008,278,False,3
3,2002,Frida,R,123,Biography|Drama|Romance,7.400000099999999,61,63852,25780000,272,126,False,3
4,2001,The Lord of the Rings: The Fellowship of the Ring,PG-13,178,Adventure|Drama|Fantasy,8.80000019,92,1286275,313840000,5078,296,False,3
5,2000,Mission: Impossible II,PG-13,123,Action|Adventure|Thriller,6.0999999,59,249988,215400000,1431,234,False,3
6,2002,Resident Evil,R,100,Action|Horror|Sci-Fi,6.69999981,33,204545,39530000,1145,225,False,3
7,2000,X-Men,PG-13,104,Action|Adventure|Sci-Fi,7.400000099999999,64,468351,157300000,1406,289,False,3
8,2000,The Emperor's New Groove,G,78,Animation|Adventure|Comedy,7.30000019,70,133781,89300000,298,141,True,3
9,2005,Corpse Bride,PG,77,Animation|Drama|Family,7.400000099999999,83,197604,53340000,477,266,True,3
10,2002,Star Wars: Episode II - Attack of the Clones,PG,142,Action|Adventure|Fantasy,6.69999981,54,485730,310680000,3531,291,False,3
11,2005,Star Wars: Episode III - Revenge of the Sith,PG-13,140,Action|Adventure|Fantasy,7.599999900000001,68,543318,380260000,3303,356,False,3
12,2001,Shrek,PG,90,Animation|Adventure|Comedy,7.900000099999999,84,483447,267650000,950,212,True,3
13,2001,Planet of the Apes,PG-13,119,Action|Adventure|Sci-Fi,5.69999981,50,181213,180010000,1369,230,False,3
14,2002,Treasure Planet,PG,95,Animation|Adventure|Family,7.099999900000001,60,74746,38120000,219,127,True,3
15,2000,Pitch Black,R,109,Horror|Sci-Fi,7.099999900000001,49,197982,39240000,808,211,False,2
16,2001,Training Day,R,122,Crime|Drama|Thriller,7.69999981,69,316040,76260000,638,109,False,3
17,2000,U-571,PG-13,116,Action|War,6.599999900000001,62,66965,77090000,608,178,False,2
18,2000,American Psycho,R,102,Crime|Drama,7.599999900000001,64,371133,15050000,1071,284,False,2
19,2002,Spider-Man,PG-13,121,Action|Adventure,7.30000019,73,561251,403710000,2017,291,False,2
20,2001,Lara Croft: Tomb Raider,PG-13,100,Action|Adventure|Fantasy,5.69999981,33,161278,131140000,827,198,False,3
21,2000,High Fidelity,R,113,Comedy|Drama|Music,7.5,79,146486,27280000,604,175,False,3
22,2000,The Flintstones in Viva Rock Vegas,PG,90,Comedy|Family|Romance,3.5999999,27,16035,35230000,86,57,False,3
23,2003,Cold Mountain,R,154,Adventure|Drama|History,7.19999981,73,120878,95630000,678,196,False,3
24,2000,Charlie's Angels,PG-13,98,Action|Adventure|Comedy,5.5,52,148354,125310000,643,179,False,3
25,2001,Nowhere in Africa,R,141,Biography|Drama,7.69999981,72,10887,6170000,84,73,False,2
26,2000,Cast Away,PG-13,143,Adventure|Drama|Romance,7.69999981,73,409544,233630000,1060,222,False,3
27,2001,Ghost World,R,111,Comedy|Drama,7.400000099999999,88,98471,6200000,489,123,False,2
28,2001,Jurassic Park III,PG-13,92,Action|Adventure|Sci-Fi,5.9000001,42,227486,181170000,1247,197,False,3
29,2000,The Beach,R,119,Adventure|Drama|Romance,6.599999900000001,43,182324,39780000,553,118,False,3
30,2000,Hollow Man,R,112,Action|Horror|Sci-Fi,5.69999981,24,104404,73210000,630,177,False,3
31,2002,The Sum of All Fears,PG-13,124,Action|Drama|Thriller,6.4000001,45,88382,118470000,568,176,False,3
32,2001,Along Came a Spider,R,104,Crime|Drama|Thriller,6.30000019,42,60579,74060000,318,133,False,3
33,2000,Romeo Must Die,R,115,Action|Crime|Thriller,6.0999999,52,58111,55970000,368,69,False,3
34,2002,Spirit: Stallion of the Cimarron,G,83,Animation|Adventure|Family,7.099999900000001,52,46943,73220000,219,105,True,3
35,2001,Mulholland Drive,R,147,Drama|Mystery|Thriller,8.0,81,247207,7220000,1778,253,False,3
36,2004,Hellboy,PG-13,122,Action|Fantasy|Horror,6.80000019,72,250754,59040000,602,243,False,3
37,2003,The Lord of the Rings: The Return of the King,PG-13,201,Adventure|Drama|Fantasy,8.89999962,94,1264277,377020000,3213,325,False,3
38,2002,The Lord of the Rings: The Two Towers,PG-13,179,Adventure|Drama|Fantasy,8.69999981,88,1145458,340480000,2424,292,False,3
39,2000,Dancer in the Dark,R,140,Crime|Drama|Musical,8.0,61,82205,4160000,693,125,False,3
40,2001,Lagaan: Once Upon a Time in India,PG,224,Adventure|Drama|Musical,8.19999981,84,77479,0,248,69,False,3
41,2000,How the Grinch Stole Christmas,PG,104,Comedy|Family|Fantasy,6.0,46,150313,260030000,489,176,False,3
42,2003,Bad Boys II,R,147,Action|Comedy|Crime,6.599999900000001,38,183145,138400000,513,94,False,3
43,2000,Gladiator,R,155,Action|Adventure|Drama,8.5,64,1024040,187670000,2380,265,False,3
44,2000,Scary Movie,R,88,Comedy,6.19999981,48,192128,157000000,895,94,False,1
45,2000,The Perfect Storm,PG-13,130,Action|Adventure|Drama,6.4000001,59,135888,182620000,781,229,False,3
46,2000,Quills,R,124,Biography|Drama,7.400000099999999,70,45631,7060000,313,132,False,2
47,2000,Requiem for a Dream,R,102,Drama,8.39999962,68,596759,3610000,1930,238,False,1
48,2002,Minority Report,PG-13,145,Action|Mystery|Sci-Fi,7.69999981,80,413070,132010000,1338,251,False,3
49,2003,Terminator 3: Rise of the Machines,R,109,Action|Sci-Fi|Thriller,6.4000001,66,313931,150350000,1680,278,False,3
50,2000,Traffic,R,147,Crime|Drama|Thriller,7.599999900000001,86,173632,124110000,871,220,False,3
51,2000,Almost Famous,R,122,Adventure|Comedy|Drama,7.900000099999999,90,212643,32520000,826,146,False,3
52,2000,Boiler Room,R,120,Crime|Drama|Thriller,7.0,63,42344,16940000,246,131,False,3
53,2000,"Me, Myself & Irene",R,116,Comedy,6.5,49,190379,90570000,483,154,False,1
54,2000,Pollock,R,122,Biography|Drama,7.0,77,23585,8600000,148,114,False,2
55,2001,A Knight's Tale,PG-13,132,Action|Adventure|Romance,6.900000099999999,54,140668,56080000,659,165,False,3
56,2000,Wonder Boys,R,107,Comedy|Drama,7.400000099999999,73,55707,19390000,338,172,False,2
57,2000,Battlefield Earth,PG-13,118,Action|Adventure|Sci-Fi,2.4000001,9,66552,21470000,1311,173,False,3
58,2000,Little Nicky,PG-13,90,Comedy|Fantasy,5.30000019,38,82544,39440000,238,86,False,2
59,2000,Frequency,PG-13,118,Crime|Drama|Mystery,7.400000099999999,67,84574,44980000,511,170,False,3
60,2000,Space Cowboys,PG-13,130,Action|Adventure|Thriller,6.4000001,73,61837,90450000,328,166,False,3
61,2000,Gone in Sixty Seconds,PG-13,118,Action|Crime|Thriller,6.5,35,223486,101640000,503,175,False,3
62,2000,The Patriot,R,165,Action|Drama|History,7.099999900000001,63,213438,113330000,1147,190,False,3
63,2002,Blade II,R,117,Action|Horror|Sci-Fi,6.69999981,52,164050,81650000,562,224,False,3
64,2000,Shadow of the Vampire,R,92,Drama|Horror,6.900000099999999,71,34859,8280000,340,199,False,2
65,2000,"Crouching Tiger, Hidden Dragon",PG-13,120,Action|Adventure|Fantasy,7.900000099999999,93,221957,128070000,1645,288,False,3
66,2000,"O Brother, Where Art Thou?",PG-13,107,Adventure|Comedy|Crime,7.80000019,69,232646,45510000,867,201,False,3
67,2000,Vatel,PG-13,103,Biography|Drama|Romance,6.599999900000001,44,6463,50000,45,31,False,3
68,2000,Vertical Limit,PG-13,124,Action|Adventure|Drama,5.9000001,48,50576,68470000,380,131,False,3
69,2000,The Replacements,PG-13,118,Comedy|Sport,6.5,30,49276,44740000,260,119,False,2
70,2000,Erin Brockovich,R,131,Biography|Drama,7.30000019,73,139323,125550000,500,166,False,2
71,2000,Final Destination,R,98,Horror|Thriller,6.69999981,36,186452,53300000,675,211,False,2
72,2001,Zoolander,PG-13,90,Comedy,6.599999900000001,61,207208,45160000,526,135,False,1
73,2000,Where the Heart Is,PG-13,120,Comedy|Drama|Romance,6.80000019,30,27563,33770000,240,78,False,3
74,2001,"Monsters, Inc.",G,92,Animation|Adventure|Comedy,8.10000038,78,614220,289910000,596,249,True,3
75,2000,Love & Basketball,PG-13,124,Drama|Romance|Sport,7.19999981,70,14809,27440000,116,67,False,3
76,2000,Coyote Ugly,PG-13,100,Comedy|Drama|Music,5.5999999,27,92599,60790000,378,154,False,3
77,2001,Moulin Rouge!,PG-13,127,Drama|Musical|Romance,7.599999900000001,66,229031,57390000,2323,209,False,3
78,2000,Men of Honor,R,129,Biography|Drama,7.19999981,56,91691,48810000,233,97,False,2
79,2000,Sexy Beast,R,89,Crime|Thriller,7.30000019,79,44469,6940000,349,148,False,2
80,2000,You Can Count on Me,R,111,Drama,7.69999981,85,23102,9180000,232,124,False,1
81,2000,The Watcher,R,97,Crime|Horror|Mystery,5.30000019,22,22568,28930000,182,103,False,3
82,2000,Bring It On,PG-13,98,Comedy|Romance|Sport,5.9000001,52,71924,68350000,384,138,False,3
83,2006,Children of Men,R,109,Drama|Sci-Fi|Thriller,7.900000099999999,84,374207,35290000,1223,375,False,3
84,2000,What Women Want,PG-13,127,Comedy|Fantasy|Romance,6.4000001,47,163233,182810000,396,151,False,3
85,2000,Snatch,R,102,Comedy|Crime,8.30000019,55,623296,30090000,735,151,False,2
86,2000,The Contender,R,126,Drama|Thriller,7.0,59,20825,17800000,370,139,False,2
87,2000,Everybody's Famous!,R,97,Comedy|Drama|Music,7.0,60,2837,70000,38,35,False,3
88,2002,Ken Park,Not Rated,93,Drama,5.9000001,0,25403,0,158,87,False,1
89,2000,Memento,R,113,Mystery|Thriller,8.5,80,879688,25530000,2078,274,False,2
90,2001,The Mummy Returns,PG-13,130,Action|Adventure|Fantasy,6.30000019,48,253782,202010000,895,202,False,3
91,2001,"Wedding Planner - verliebt, verlobt, verplant",PG-13,103,Comedy|Romance,5.19999981,33,63095,60400000,229,107,False,2
92,2000,The Cell,R,107,Horror|Sci-Fi|Thriller,6.30000019,40,81554,61280000,678,226,False,3
93,2000,Remember the Titans,PG,113,Biography|Drama|Sport,7.80000019,48,165555,115650000,403,156,False,3
94,2000,102 Dalmatians,G,100,Adventure|Comedy|Family,4.80000019,35,27364,66940000,77,83,False,3
95,2001,Jason X,R,91,Action|Horror|Sci-Fi,4.4000001,25,40185,12610000,678,204,False,3
96,2001,AmЋlie,R,122,Comedy|Romance,8.39999962,69,559498,33200000,1327,245,False,2
97,2000,Meet the Parents,PG-13,108,Comedy|Romance,7.0,73,267609,166230000,508,148,False,2
98,2000,Miss Congeniality,PG-13,109,Action|Comedy|Crime,6.19999981,43,142566,106810000,371,140,False,3
